"image_id","owner_id","title","datetaken","latitude","longitude","url_small_image","classification_score","latin_name","common_name_english","image_license_code","image_license","url_large_image","image_information_link","rand_id"
8683672989,"71625918@N00","Roads Go Ever Ever On  (Explore#231)","2013-04-19",53.349039,-1.811295,"https://live.staticflickr.com/8125/8683672989_bea34e8a1c_m.jpg",0.1054150015,"Distichia muscoides",NA,0,"All Rights Reserved","https://live.staticflickr.com/8125/8683672989_bea34e8a1c_b.jpg","https://www.flickr.com/photos/71625918@N00/8683672989",912
3481025516,"72718192@N00","Hoverfly on Flower","2002-07-13",53.367116,-1.595671,"https://live.staticflickr.com/3351/3481025516_44a1c0a5f6_m.jpg",0.09349990636,"Chaerophyllum villarsii",NA,0,"All Rights Reserved","https://live.staticflickr.com/3351/3481025516_44a1c0a5f6_b.jpg","https://www.flickr.com/photos/72718192@N00/3481025516",3519
2104664464,"21748777@N04","Lower Whitle Farm garden crocus 00001","2003-03-10",53.176424,-1.842935,"https://live.staticflickr.com/2260/2104664464_612bbe781f_m.jpg",0.4909378886,"Iris lutescens","Crimean iris",0,"All Rights Reserved","https://live.staticflickr.com/2260/2104664464_612bbe781f_b.jpg","https://www.flickr.com/photos/21748777@N04/2104664464",5185
2104665992,"21748777@N04","Lower Whitle Farm garden crocus 00006","2003-03-15",53.176424,-1.842935,"https://live.staticflickr.com/2327/2104665992_f3a58f3f07_m.jpg",0.466021359,"Iris lutescens","Crimean iris",0,"All Rights Reserved","https://live.staticflickr.com/2327/2104665992_f3a58f3f07_b.jpg","https://www.flickr.com/photos/21748777@N04/2104665992",949
4510749213,"46153041@N05","HOA","2003-03-23",53.123386,-1.563727,"https://live.staticflickr.com/4002/4510749213_5d67a25ba6_m.jpg",0.1087327227,"Phoenix canariensis","Canary Island date palm",0,"All Rights Reserved","https://live.staticflickr.com/4002/4510749213_5d67a25ba6_b.jpg","https://www.flickr.com/photos/46153041@N05/4510749213",786
4511389912,"46153041@N05","Daffy","2003-03-23",53.123985,-1.562955,"https://live.staticflickr.com/2374/4511389912_ac18bd332d_m.jpg",0.5736348033,"Narcissus pseudonarcissus","Tenby daffodil",0,"All Rights Reserved","https://live.staticflickr.com/2374/4511389912_ac18bd332d_b.jpg","https://www.flickr.com/photos/46153041@N05/4511389912",498
2108814353,"32419918@N00","2003-07-n1-03070625","2003-07-12",53.163016,-1.664933,"https://live.staticflickr.com/2417/2108814353_b08880bbb8_m.jpg",0.2350870669,"Digitalis purpurea","Foxglove",0,"All Rights Reserved","https://live.staticflickr.com/2417/2108814353_b08880bbb8_b.jpg","https://www.flickr.com/photos/32419918@N00/2108814353",2902
17148819695,"35361408@N07","Hartington","2003-07-18",53.166405,-1.78087,"https://live.staticflickr.com/7687/17148819695_582ae13091_m.jpg",0.2971707284,"Digitalis purpurea","Foxglove",0,"All Rights Reserved","https://live.staticflickr.com/7687/17148819695_582ae13091_b.jpg","https://www.flickr.com/photos/35361408@N07/17148819695",5001
2104027329,"21748777@N04","Lower Whitle Farm garden 00060","2003-08-09",53.176424,-1.842935,"https://live.staticflickr.com/2215/2104027329_f22e32a910_m.jpg",0.2937582135,"Hemerocallis lilioasphodelus","Lemon day-lily",0,"All Rights Reserved","https://live.staticflickr.com/2215/2104027329_f22e32a910_b.jpg","https://www.flickr.com/photos/21748777@N04/2104027329",636
5857160730,"61311830@N04","Yellow Flower ?","2003-09-24",53.52306,-1.637477,"https://live.staticflickr.com/2622/5857160730_2b04f98baa_m.jpg",0.2539972067,"Encelia californica","California Brittlebush",0,"All Rights Reserved","https://live.staticflickr.com/2622/5857160730_2b04f98baa_b.jpg","https://www.flickr.com/photos/61311830@N04/5857160730",1589
